0.106, 0.3360,	0.0150, 6dFGS
0.15,  0.2239,	0.0084, MGS
0.32,  0.1181,	0.0024, BOSS LOWZ
0.35,  0.1126,	0.0022, SDSS(R)
0.57,  0.0726,	0.0007, BOSS CMASS
0.44,  0.073,	0.0000, WiggleZ
0.6,   0.0726,	0.0000, WiggleZ
0.73,  0.0592,	0.0000, WiggleZ
